modelo_base,metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,crps_base,brier_base,segundos
hurdle,1_estatico_pit,test_pre,93.5,1.03,799.1,399.7,0.0,1028.6,1028.6199818759424,30,3390,96.07,0.1036,0.0
hurdle,1_estatico_pit,test_transition,95.3,0.45,1203.3,667.5,0.0,1587.6,1587.584564697619,92,10607,133.47,0.0721,0.0
hurdle,1_estatico_pit,2025-S1,89.4,1.04,454.8,179.4,0.0,745.2,745.1781435303656,181,21784,70.46,0.1614,0.0
hurdle,1_estatico_pit,2025-S2,94.0,0.45,750.1,349.0,0.0,1023.7,1023.737611298686,184,22941,94.49,0.1054,0.0
hurdle,1_estatico_pit,2026-S1,92.5,0.58,534.9,244.7,0.0,820.3,820.2853457461563,151,19146,78.98,0.1213,0.0
hurdle,2_ventana60d_pit,test_pre,93.0,1.04,741.6,370.6,0.0,992.0,992.0218977938522,30,3390,96.07,0.1036,0.1
hurdle,2_ventana60d_pit,test_transition,92.0,0.73,833.8,456.6,0.0,1390.8,1390.8090802242405,92,10607,133.47,0.0721,0.1
hurdle,2_ventana60d_pit,2025-S1,85.4,1.16,323.0,132.3,0.0,733.7,733.677566243084,181,21784,70.46,0.1614,0.1
hurdle,2_ventana60d_pit,2025-S2,92.9,0.51,649.8,330.5,0.0,1024.4,1024.3966952312678,184,22941,94.49,0.1054,0.1
hurdle,2_ventana60d_pit,2026-S1,89.5,0.76,418.6,192.5,0.0,802.8,802.7693710784503,151,19146,78.98,0.1213,0.1
hurdle,3_aci_pit_g02,test_pre,93.0,1.06,759.3,380.9,0.0,1005.7,1005.6540345352344,30,3390,96.07,0.1036,0.2
hurdle,3_aci_pit_g02,test_transition,93.5,0.55,915.2,509.1,0.0,1400.8,1400.8490873131962,92,10607,133.47,0.0721,0.2
hurdle,3_aci_pit_g02,2025-S1,85.7,1.16,345.2,136.7,0.0,739.3,739.2982754717776,181,21784,70.46,0.1614,0.2
hurdle,3_aci_pit_g02,2025-S2,93.5,0.49,668.8,346.6,0.0,1010.3,1010.347310338843,184,22941,94.49,0.1054,0.2
hurdle,3_aci_pit_g02,2026-S1,89.1,0.76,404.6,185.7,0.0,799.8,799.7582202190148,151,19146,78.98,0.1213,0.2
hurdle,3_aci_pit_g05,test_pre,92.4,1.16,717.7,361.6,0.0,985.7,985.6776033657499,30,3390,96.07,0.1036,0.2
hurdle,3_aci_pit_g05,test_transition,92.1,0.67,821.6,446.2,0.0,1369.9,1369.9427571258414,92,10607,133.47,0.0721,0.2
hurdle,3_aci_pit_g05,2025-S1,86.6,1.14,404.8,144.0,2.8,785.7,inf,181,21784,70.46,0.1614,0.2
hurdle,3_aci_pit_g05,2025-S2,92.5,0.58,609.3,311.1,11.8,1062.8,inf,184,22941,94.49,0.1054,0.2
hurdle,3_aci_pit_g05,2026-S1,89.8,0.75,445.8,197.0,0.0,819.3,819.3166385847891,151,19146,78.98,0.1213,0.2
hurdle,4_transporte_banda_g02,test_pre,92.6,1.07,713.3,359.1,0.0,977.4,977.3913806892687,30,3390,96.07,0.1036,7.2
hurdle,4_transporte_banda_g02,test_transition,91.1,0.8,787.3,422.3,0.0,1390.2,1390.2355399403739,92,10607,133.47,0.0721,7.2
hurdle,4_transporte_banda_g02,2025-S1,86.5,1.17,436.6,150.1,0.6,823.5,inf,181,21784,70.46,0.1614,7.2
hurdle,4_transporte_banda_g02,2025-S2,92.4,0.6,986.1,401.7,1.1,1409.2,inf,184,22941,94.49,0.1054,7.2
hurdle,4_transporte_banda_g02,2026-S1,90.3,0.73,459.4,206.1,0.0,820.0,820.0451270030638,151,19146,78.98,0.1213,7.2
hurdle,4_transporte_banda_g05,test_pre,92.0,1.19,680.7,345.8,0.0,963.9,963.948722485679,30,3390,96.07,0.1036,7.0
hurdle,4_transporte_banda_g05,test_transition,90.9,0.81,805.6,420.2,0.0,1408.5,1408.4852714926012,92,10607,133.47,0.0721,7.0
hurdle,4_transporte_banda_g05,2025-S1,87.4,1.13,445.6,142.8,9.9,832.0,inf,181,21784,70.46,0.1614,7.0
